File,Vulns,Trivy,Checkov,Kubeaudit,KubeLinter,Polaris,KubeScore,Kubescape,Conftest (OPA),KubeConform,RBAC-Police,Pluto,Gitleaks,Yamllint
14.genkubesec_privileged_pod.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
14.genkubesec_privileged_pod.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Privilege escalation allowed,✔,✔,✔,✔,✔,,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Privileged container,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
14.genkubesec_privileged_pod.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
14.genkubesec_privileged_pod.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
14.genkubesec_privileged_pod.yaml,Using latest tag,✔,✔,,✔,✔,✔,✔,✔,,,,,

14.ingress_deprecated_api.yaml,Default capabilities not dropped,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Default namespace,,✔,,✔,,,,✔,,,,,
14.ingress_deprecated_api.yaml,Default service account token mounted,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Filesystem not read-only,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Image not pinned by digest,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,ImagePullPolicy not Always,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Ingress backend not found,,✔,,✔,✔,✔,,,,,,,
14.ingress_deprecated_api.yaml,NetworkPolicy missing selectors,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No AppArmor profile,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No CPU limit,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No CPU request,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No TLS configured (Ingress),,✔,,✔,✔,✔,,✔,,,,,
14.ingress_deprecated_api.yaml,No livenessProbe,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No memory limit,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No memory request,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No network policy,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No readinessProbe,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,No seccomp profile,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Privilege escalation allowed,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Privileged container,,,,,✔,,,,,,,,
14.ingress_deprecated_api.yaml,Runs as root user,,,,,✔,,,✔,,,,,
14.ingress_deprecated_api.yaml,Using latest tag,,✔,,,✔,,,,,,,,

15.pod_privilege_escalation.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Deployment selector missing,,,,,,,✔,,,,,,
15.pod_privilege_escalation.yaml,Docker socket mounted,,,,,,,✔,,,,,,
15.pod_privilege_escalation.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,,,,,,
15.pod_privilege_escalation.yaml,Image not pinned by digest,✔,✔,,,✔,✔,,✔,,,,,
15.pod_privilege_escalation.yaml,ImagePullPolicy not Always,,,,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
15.pod_privilege_escalation.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
15.pod_privilege_escalation.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
15.pod_privilege_escalation.yaml,No CPU limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No CPU request,✔,✔,,✔,✔,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
15.pod_privilege_escalation.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
15.pod_privilege_escalation.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Privilege escalation allowed,✔,✔,✔,✔,✔,,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Privileged container,✔,,,✔,✔,,✔,,,,,,
15.pod_privilege_escalation.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
15.pod_privilege_escalation.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
15.pod_privilege_escalation.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
15.pod_privilege_escalation.yaml,Using latest tag,✔,✔,,✔,✔,✔,✔,✔,,,,,

